municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,CONSULTORIO ISOLADO,ISOLATED OFFICE,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),UNIDADE MOVEL TERRESTRE,GROUND MOBILE UNIT,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE
313450,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313460,12,4,1,1,-,-,-,-,7,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313470,3,3,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313480,-,4,-,1,-,-,-,-,8,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313490,3,5,-,1,-,-,1,-,19,-,3,12,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313500,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313505,-,9,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313507,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313510,1,11,-,1,-,-,-,-,13,-,17,10,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-
313520,14,5,-,1,-,-,1,-,34,-,5,3,-,-,1,2,-,-,-,-,-,2,-,-,-,-,-
313530,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313535,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313540,2,1,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313545,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313550,5,2,-,1,-,-,-,-,6,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313560,2,5,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313570,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313580,3,6,-,1,-,-,-,-,5,-,4,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
313590,-,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313600,1,4,-,1,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313610,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313620,1,8,1,1,-,-,-,-,157,-,55,12,-,3,-,1,-,-,1,-,-,1,-,1,-,-,1
313630,11,8,-,1,-,-,-,-,5,-,4,5,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
313640,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313650,2,2,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313652,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313655,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313657,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313660,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
313665,7,-,1,-,-,-,-,-,9,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313670,12,49,2,12,6,2,-,-,574,-,183,89,1,1,3,2,4,-,2,1,-,1,1,3,-,-,2
313680,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313690,-,4,-,1,-,-,-,-,3,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313695,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313700,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313710,1,2,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313720,2,8,1,1,-,-,1,-,24,-,15,4,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
313730,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313740,2,1,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313750,-,5,1,1,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313753,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313760,-,15,-,2,-,-,-,-,42,-,12,6,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-
313770,6,1,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
313780,2,1,-,1,-,-,1,-,12,-,3,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313790,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313800,3,2,-,1,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313810,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313820,1,17,-,4,1,-,1,-,281,-,38,31,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-
313830,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313835,4,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313840,1,14,2,1,1,-,-,-,51,-,12,16,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-
313850,-,3,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313860,9,4,-,1,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
313862,2,2,-,-,-,-,-,-,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313865,-,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313867,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313868,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313870,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313880,3,5,-,1,-,-,-,-,8,-,4,4,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-
313890,-,3,-,1,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
313900,3,6,-,1,-,-,2,-,47,-,6,6,-,-,-,2,-,-,-,2,-,1,-,-,-,-,-
313910,-,3,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313920,-,6,-,2,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313925,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313930,1,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313940,-,18,-,1,-,-,-,-,83,-,30,15,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1
313950,-,6,1,1,-,-,-,-,8,-,3,4,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-
313960,-,7,-,3,-,-,-,-,3,-,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313970,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313980,-,5,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
313990,2,6,-,1,-,-,-,-,8,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314000,8,9,1,1,-,-,-,-,33,-,5,7,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
314010,1,2,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314015,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314020,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314030,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314040,-,2,-,-,-,-,-,-,4,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
314050,-,4,-,1,-,-,-,-,4,-,2,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
314053,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314055,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314060,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314070,-,12,1,1,-,-,-,-,22,-,8,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314080,-,5,1,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314085,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314090,-,7,-,1,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314100,2,5,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314110,1,11,2,1,-,-,-,-,15,-,5,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
314120,1,2,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314130,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314140,2,6,-,1,-,-,-,-,2,-,1,1,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
314150,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314160,4,4,-,1,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314170,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314180,2,4,1,1,-,-,-,-,4,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
314190,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314200,1,6,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
314210,4,3,-,1,-,-,-,-,3,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314220,1,5,1,1,-,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314225,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314230,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314240,1,6,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314250,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314260,-,4,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314270,3,4,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314280,-,5,1,1,-,-,-,-,2,-,1,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314290,6,7,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314300,-,2,-,1,-,-,-,-,1,-,6,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
314310,3,10,1,2,-,-,1,-,15,-,2,6,1,-,2,2,-,-,-,-,-,1,-,1,-,-,-
314315,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314320,-,10,-,1,-,-,1,-,9,-,3,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314330,-,89,5,6,-,-,-,-,164,-,115,30,-,1,3,3,1,-,1,1,1,2,1,2,5,-,-
314340,2,5,-,-,-,-,1,-,33,-,1,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314345,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314350,2,4,-,1,-,-,-,-,5,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314360,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
314370,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314380,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314390,4,30,-,2,3,-,-,-,80,-,26,21,1,-,2,1,1,-,-,-,-,-,-,3,-,-,-
314400,2,9,-,2,-,-,1,-,1,-,3,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
314410,2,4,1,1,-,-,-,-,12,-,4,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314420,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314430,8,2,1,2,-,-,-,-,37,-,6,3,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
314435,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314437,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314440,-,2,-,1,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
314450,-,2,-,1,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314460,3,6,-,1,-,-,-,-,11,-,2,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314465,1,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314467,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314470,1,2,1,1,-,-,-,-,19,-,2,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314480,2,22,-,3,-,-,-,-,72,-,21,9,-,1,1,-,2,-,-,-,-,1,-,1,-,-,1
314490,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
314500,1,3,-,1,-,-,-,-,4,-,2,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314505,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314510,-,4,-,1,-,-,-,-,5,-,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
314520,-,15,1,1,-,-,1,-,3,-,4,5,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
314530,-,9,1,1,-,-,-,-,14,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314535,-,3,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314537,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314540,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314545,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314550,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314560,-,14,-,1,-,-,1,-,24,-,14,4,1,-,-,1,-,-,-,-,-,-,-,2,-,-,-
314570,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314580,3,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
314585,-,1,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314587,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314590,1,19,-,2,-,-,-,-,61,-,2,2,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
314600,9,6,-,1,-,-,-,-,42,-,5,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
314610,-,37,2,1,-,-,1,-,50,-,12,11,-,-,1,1,-,-,-,-,-,-,-,2,-,-,-
314620,-,3,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314625,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314630,-,8,-,1,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
314640,-,2,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314650,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314655,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314660,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314670,3,2,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314675,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314690,1,2,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314700,4,14,-,2,-,-,-,-,62,-,25,2,2,-,-,1,-,-,-,-,-,-,-,1,-,-,-
314710,-,23,2,1,-,-,1,-,98,-,23,4,-,-,-,2,-,-,-,-,-,1,-,1,-,-,-
314720,-,5,1,1,-,-,1,-,6,-,2,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
314730,1,6,1,1,-,-,-,-,28,-,3,5,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
314740,-,3,1,1,-,-,-,-,-,-,1,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
314750,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314760,-,7,-,1,-,-,-,-,13,-,6,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
314770,-,3,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314780,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314790,-,25,1,3,1,-,-,-,124,-,25,11,-,-,-,2,-,-,-,-,-,2,-,1,-,-,1
314795,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314800,7,26,3,6,-,-,1,-,232,-,24,19,2,1,1,3,-,-,-,2,-,2,1,1,-,-,-
314810,-,13,1,3,-,-,1,-,67,-,10,12,2,-,1,-,-,-,-,-,-,1,-,1,-,-,-
314820,-,3,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314830,-,3,-,-,-,-,-,-,4,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314840,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314850,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
314860,-,4,-,1,-,-,-,-,7,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314870,2,6,1,1,-,-,-,-,14,-,4,2,1,-,-,-,-,-,-,-,-,2,-,1,-,-,-
314875,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314880,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314890,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314900,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314910,-,4,-,1,-,-,-,-,3,-,-,3,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-
314915,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314920,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314930,-,15,-,3,-,-,-,-,87,-,20,9,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1
314940,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314950,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314960,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314970,1,2,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314980,5,5,-,1,-,-,1,-,5,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
314990,-,7,-,1,-,-,-,-,14,-,2,6,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
314995,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
315000,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315010,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315015,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315020,1,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315030,-,2,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315040,-,3,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315050,-,3,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315053,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315057,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315060,-,1,-,-,-,-,1,-,1,-,1,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-
315070,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315080,5,1,-,1,-,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315090,4,1,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
315100,1,2,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315110,1,3,-,1,-,-,-,-,3,-,3,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
315120,-,14,1,3,-,-,-,-,11,-,11,5,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-
315130,2,5,-,1,-,-,-,-,7,-,2,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
315140,3,7,-,1,-,-,-,-,12,-,6,3,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-
315150,1,14,1,1,-,-,-,-,41,-,7,1,-,-,-,2,-,-,-,-,-,1,-,1,1,-,-
315160,-,5,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315170,-,4,-,1,-,-,-,-,3,-,2,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
315180,25,6,3,5,1,-,-,-,498,-,91,29,4,-,1,1,1,-,3,-,-,1,-,-,-,-,-
315190,1,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315200,1,7,1,1,-,-,-,-,8,-,2,3,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-
315210,11,7,1,2,-,-,1,1,118,-,14,11,2,-,1,1,-,-,-,1,-,2,1,1,-,-,-
315213,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315217,-,5,-,-,-,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
315220,-,14,1,1,-,-,-,-,21,-,1,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315230,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315240,-,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315250,9,16,2,3,-,-,1,-,320,-,14,46,1,-,-,2,-,-,3,-,-,2,1,1,-,-,-
315260,-,3,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315270,1,2,-,1,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315280,2,7,1,1,-,-,-,-,5,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315290,-,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315300,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
315310,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315320,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
315330,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315340,2,5,-,1,-,-,-,-,3,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
315350,-,4,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315360,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
