municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_20
351410,7,26,2,12,1,4,-,-,62,20,11,1,2,5,-,3,2,29,24
351420,2,-,-,2,-,-,-,-,9,1,-,-,-,-,-,-,-,4,1
351430,1,6,-,3,2,-,-,-,26,4,4,-,-,2,-,1,-,7,8
351440,17,53,1,27,2,5,-,-,81,56,28,2,1,4,-,3,-,66,22
351450,3,9,-,11,-,3,-,-,40,13,8,1,-,4,-,1,1,13,2
351460,3,8,-,4,1,2,-,-,5,4,7,-,-,-,-,1,1,3,6
351470,1,4,-,6,-,1,-,-,5,7,1,-,-,-,-,3,-,3,5
351480,3,10,-,11,-,-,-,-,30,12,6,-,-,-,-,2,-,19,6
351490,1,16,1,2,-,2,-,-,19,17,8,-,-,4,-,-,-,13,9
351492,2,4,-,3,-,-,-,-,9,6,1,-,-,-,-,-,-,2,3
351495,-,1,-,-,-,-,-,-,4,1,-,-,-,1,-,-,-,1,3
351500,34,180,9,34,6,22,-,-,397,150,72,3,6,21,-,24,17,19,178
351510,17,57,1,22,-,14,-,-,133,45,32,-,1,8,-,8,1,12,28
351512,-,3,-,1,1,1,-,-,3,1,-,-,-,-,-,-,-,6,-
351515,1,9,1,2,-,3,-,-,16,8,6,-,-,-,-,-,2,11,8
351518,12,43,5,26,3,4,-,-,133,36,25,-,1,4,-,5,1,42,25
351519,2,2,-,2,-,-,-,-,7,-,2,1,-,-,-,-,-,4,3
351520,-,10,-,3,-,1,-,-,11,5,4,-,-,-,-,1,-,16,4
351530,1,-,-,-,-,-,-,-,6,2,1,-,-,-,-,1,-,5,3
351535,6,9,-,2,-,2,-,-,16,7,4,1,-,1,-,1,1,7,5
351540,13,19,1,7,1,4,-,-,29,7,7,-,1,4,-,-,-,8,9
351550,20,66,5,23,2,8,-,-,108,56,30,1,-,14,-,3,4,91,37
351560,3,10,-,3,-,2,-,-,17,4,4,-,-,4,-,-,-,7,6
351565,-,2,1,1,-,1,-,-,-,-,1,-,-,1,-,-,-,2,-
351570,24,102,5,48,6,15,-,-,209,103,49,3,6,17,2,19,8,166,78
351580,2,4,-,1,-,1,-,-,9,2,1,-,-,1,-,-,-,4,1
351590,-,6,-,-,-,-,-,-,10,1,2,-,-,-,-,-,-,6,1
351600,5,14,-,2,1,1,-,-,21,12,4,-,-,-,-,3,-,17,7
351610,-,1,-,1,1,-,-,-,7,2,2,-,1,-,-,-,-,2,1
351620,90,353,10,28,17,81,-,-,631,268,130,4,8,63,2,33,18,14,160
351630,33,96,1,48,2,13,-,-,299,88,50,-,2,12,2,22,9,20,63
351640,36,113,4,60,3,13,-,-,279,89,51,4,1,13,2,18,4,17,76
351650,2,3,-,-,-,1,-,-,7,3,-,-,-,1,-,1,-,1,1
351660,5,10,-,4,-,-,-,-,19,3,4,-,-,-,-,-,-,9,6
351670,8,49,1,29,12,9,-,-,109,36,13,1,2,4,-,4,1,37,27
351680,2,8,1,3,-,-,-,-,6,5,1,-,-,-,-,-,-,1,2
