municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
110175,3,1,-,1,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110180,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110030,7,8,-,2,-,-,-,-,187,-,53,35,1,-,5,3,-,-,-,-,-,3,1,1,-,2,-,-,-,-,2,-,1,-,1,-,-,1,1
110000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120001,-,5,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
120005,-,3,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
120010,-,9,-,1,-,-,-,-,-,-,-,3,-,1,1,2,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
120013,-,5,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
120017,4,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120020,8,27,2,3,2,1,-,-,18,1,10,8,3,4,2,6,-,-,-,-,-,2,1,1,-,3,1,1,-,1,-,-,-,-,1,-,1,2,-
120025,-,7,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120030,-,8,-,1,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
120032,-,3,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1
120033,1,7,-,1,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,1,-,1,-,2,-,2,-,-,-,-,-,-,-,-,1,-,-
120034,-,4,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
120035,1,4,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
120038,-,8,-,1,-,1,-,-,-,-,-,-,-,2,1,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
120080,-,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
120039,2,3,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-
120040,-,62,8,5,3,-,-,-,336,-,45,30,1,11,4,4,-,-,1,-,-,2,1,2,-,1,4,4,1,1,3,-,-,1,3,2,-,2,1
120042,-,5,-,-,-,1,-,-,-,-,-,2,1,1,-,2,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
120043,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
120050,-,17,-,1,-,-,-,-,-,-,1,5,-,1,1,2,-,-,-,-,-,1,-,1,-,1,-,3,-,-,-,-,-,-,-,-,1,1,-
120045,4,9,-,1,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
120060,12,1,-,1,-,-,-,-,-,1,3,2,-,1,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
120070,-,5,-,1,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130002,2,4,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,1,-,-,-,-,-
130006,3,-,-,1,-,-,-,-,1,-,-,1,-,-,1,3,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
130008,6,1,1,1,-,-,-,-,2,1,-,-,-,-,4,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130010,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
130014,5,2,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
130020,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
130030,-,13,-,1,-,-,-,-,-,-,1,2,-,-,-,3,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
130040,1,2,-,2,-,-,-,-,1,1,-,1,-,-,-,2,-,-,-,-,-,1,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
130050,5,6,-,1,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
130060,-,5,-,1,-,-,-,-,-,1,2,-,1,2,-,2,-,-,-,-,-,1,-,-,-,7,-,-,-,-,-,-,-,2,-,-,-,-,-
