municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
312290,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
312300,-,3,-,-,-,-,-,-,5,-,3,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312310,2,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312320,2,3,2,1,-,-,-,-,4,-,9,2,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
312330,-,3,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312340,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312350,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312352,2,2,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312360,1,8,-,1,-,-,-,-,34,-,9,4,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312370,2,3,-,-,-,-,-,-,8,-,2,4,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312380,-,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312385,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312390,5,2,-,1,-,-,-,-,5,-,4,3,-,1,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312400,-,9,-,1,-,-,-,-,2,-,1,3,-,1,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312410,11,17,1,1,-,-,-,-,11,-,6,5,-,-,1,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312420,6,1,1,1,-,-,-,-,5,-,2,6,-,1,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312430,3,6,-,1,-,-,-,-,2,-,8,3,-,1,2,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312440,2,1,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312450,-,3,-,1,-,-,-,-,2,-,-,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312460,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312470,1,2,2,1,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312480,2,2,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312490,-,5,-,1,-,-,-,-,-,-,6,1,-,-,1,-,-,-,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312500,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312510,-,16,3,1,-,-,1,-,67,-,3,17,-,1,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
312520,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312530,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312540,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312560,2,3,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
312570,-,7,-,-,-,-,-,-,8,-,2,4,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312580,-,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312590,1,1,-,1,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312595,-,5,-,1,-,-,-,-,-,-,1,2,-,1,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312600,1,2,-,-,-,-,-,-,8,-,4,3,-,-,1,2,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-
312610,-,12,2,2,-,-,-,-,112,-,24,21,-,2,1,-,1,-,2,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1
312620,1,2,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312630,1,1,1,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312640,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312650,-,6,-,-,-,1,-,-,5,-,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312660,1,4,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312670,-,8,-,1,-,-,-,-,-,-,7,3,-,2,1,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
312675,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312680,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312690,-,5,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312695,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312700,-,6,5,-,-,-,1,-,4,-,4,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312705,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312707,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312710,3,10,6,2,-,-,-,-,97,-,30,7,-,-,1,2,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
312720,1,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312730,-,5,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312733,-,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312735,4,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312737,-,3,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312738,-,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312740,1,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312750,-,2,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312760,4,5,-,1,-,-,-,-,2,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312770,6,47,2,6,2,-,-,-,441,-,201,52,4,4,2,1,1,-,-,-,-,2,1,3,-,2,1,-,-,1,3,-,-,-,3,-,1,-,-
312780,2,6,-,1,-,-,-,-,-,-,3,1,-,-,1,-,-,-,-,-,-,1,-,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-
312790,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-
312800,1,11,3,1,-,-,-,-,25,-,7,10,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312810,-,6,-,1,-,-,-,-,3,-,-,3,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312820,-,6,-,1,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312825,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312830,1,8,-,1,-,-,1,-,10,-,4,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312840,-,3,-,-,-,-,-,-,2,-,2,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
312850,1,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
312860,-,3,1,1,-,-,-,-,4,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312870,11,-,2,1,-,-,-,-,131,-,19,16,1,1,3,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312880,-,3,-,-,-,-,-,-,-,-,1,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312890,-,5,-,-,-,-,-,-,2,-,1,-,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312900,1,1,-,-,-,-,-,-,4,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312910,-,3,-,1,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312920,-,3,-,-,-,-,-,-,2,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312930,2,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
312940,-,1,-,1,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
312950,1,7,1,1,-,-,-,-,54,-,3,5,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312960,3,5,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
312965,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
312970,-,4,1,1,-,-,-,-,5,-,2,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312980,-,24,-,1,-,-,-,-,18,-,17,6,-,1,4,1,-,-,-,-,-,1,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
312990,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313000,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313005,-,7,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313010,-,11,1,-,-,-,-,-,13,-,6,6,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
313020,-,6,-,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313030,-,4,-,1,-,-,-,-,2,-,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313040,1,3,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313050,-,6,-,1,-,-,1,-,-,-,1,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313055,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313060,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313065,2,5,-,-,-,-,-,-,1,-,-,1,1,-,1,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
313070,2,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313080,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313090,1,11,-,1,-,-,-,-,6,-,6,12,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313100,-,2,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313110,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313115,4,3,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313120,3,4,1,1,-,-,1,-,15,-,4,8,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313130,3,22,10,2,-,-,-,-,416,-,121,29,-,4,3,3,1,-,-,-,-,1,-,2,-,-,1,3,-,1,1,-,-,1,3,-,-,1,-
313140,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313150,2,1,-,1,-,-,-,-,8,-,2,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313160,-,3,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313170,-,16,5,2,-,-,1,-,518,-,17,35,-,3,10,-,-,-,1,-,-,2,-,3,-,-,-,-,-,1,3,-,-,1,-,-,1,-,-
313180,-,4,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313190,4,8,2,1,-,-,-,-,84,-,18,5,-,-,4,-,1,-,-,-,-,1,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
313200,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313210,4,5,-,1,-,-,-,-,3,-,2,4,-,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313220,-,5,2,1,-,-,-,-,5,-,5,3,-,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313230,-,3,-,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313240,-,23,1,2,-,-,-,-,334,-,11,60,-,2,4,3,1,-,1,-,-,1,-,3,-,-,1,-,-,-,5,-,-,-,1,-,1,1,-
313250,8,11,1,2,-,-,-,-,15,-,3,4,-,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
313260,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313270,1,10,-,2,-,-,-,-,17,-,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
313280,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313290,-,5,-,1,-,-,1,-,9,-,2,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313300,-,7,-,1,-,-,-,-,9,-,5,3,-,-,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-
313310,4,4,1,1,-,-,-,-,33,-,7,2,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313320,3,2,-,1,-,-,-,-,-,-,2,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313330,1,10,-,1,-,-,-,-,11,-,4,3,-,2,1,1,-,-,-,-,-,1,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313340,-,5,-,-,-,-,-,-,14,-,4,4,-,-,1,2,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
313350,-,8,1,1,-,-,1,-,10,-,6,4,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
313360,-,4,-,-,-,-,-,-,5,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313370,-,7,1,-,-,-,-,-,3,-,1,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313375,1,7,-,1,-,-,1,-,20,-,4,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
313380,2,22,-,1,-,-,-,-,307,-,9,12,1,2,2,1,1,-,-,-,-,1,-,3,-,-,1,-,-,-,5,-,-,-,-,-,2,-,-
313390,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313400,1,4,1,-,-,-,-,-,1,-,1,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313410,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313420,3,14,1,4,2,-,1,-,155,-,31,15,1,3,-,1,-,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313430,2,2,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313440,-,7,2,3,-,-,-,-,40,-,22,8,-,-,1,2,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313450,1,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313460,1,5,1,1,-,-,-,-,4,-,2,3,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
313470,1,6,-,1,-,-,-,-,-,-,3,1,-,1,2,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313480,-,2,-,1,-,-,-,-,7,-,1,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313490,2,7,-,1,-,-,1,-,14,-,5,6,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313500,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313505,-,13,-,1,-,-,-,-,3,-,12,4,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313507,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313510,1,14,-,2,-,-,-,-,27,-,44,15,-,3,2,-,-,-,2,-,-,1,-,4,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-
313520,-,20,1,1,-,-,-,-,42,-,33,12,-,2,1,3,-,-,-,-,-,3,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1
313530,1,1,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313535,2,6,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313540,2,1,-,1,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
313545,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313550,1,7,-,-,-,-,-,-,4,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313560,1,5,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313570,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313580,2,9,-,1,-,-,-,-,11,-,4,3,1,1,1,1,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
313590,-,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313600,-,6,-,1,-,-,-,-,-,-,1,1,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
313610,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313620,2,8,1,1,-,-,-,-,199,-,117,18,2,-,-,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-
313630,10,14,1,2,-,-,-,-,21,-,15,7,1,-,2,-,-,-,-,-,-,1,-,1,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-
313640,-,4,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313650,-,6,-,1,-,-,-,-,4,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313652,1,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
313655,-,3,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313657,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313665,9,3,-,-,-,-,-,-,14,-,7,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,1,-,-,-,-
313670,63,5,113,14,2,2,-,-,924,-,229,147,7,12,2,3,3,-,9,-,-,2,1,5,-,-,4,-,-,1,5,2,-,2,2,-,-,1,1
